"fxID","game_pk","UmpName","umpBirthYear","umpDebut","permContract","date"
427013,448817,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,317961,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318399,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348014,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,382946,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348809,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,287293,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348426,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,289206,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,413797,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348473,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447209,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244840,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,382633,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,317753,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244223,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,234384,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447050,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,381504,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,346788,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447477,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265756,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414393,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,448055,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244718,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,246391,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,235422,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348630,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,287569,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,287167,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,234317,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,235031,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318889,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318695,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,234659,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447579,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,234959,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244285,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,235491,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,235731,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415699,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,320071,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,448203,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,382300,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,347666,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348130,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,448003,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265632,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415843,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,246270,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,380651,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,319396,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348924,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,287753,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,448332,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414806,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265885,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,381149,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,264358,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,264834,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,381554,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265681,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,416035,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265116,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,319700,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244404,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,246589,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,349002,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245416,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415135,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414314,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414869,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245845,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,449227,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,235313,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,349158,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414730,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,319643,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245530,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,263865,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265984,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,347944,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,235547,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,382884,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245286,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,448762,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,264420,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,235367,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,234533,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318329,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447140,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,264887,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348191,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415463,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,348686,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,382066,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245490,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,380586,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,347110,"Lance Barksdale",1967,2000,2007,"Preseason"
